회자	추첨일	N1-N2-N3-N4-N5-N6	BN	SUM	AC	L05	L10	1등	당첨금액	2등	당첨금액	3등	당첨금액	4등	당첨금액	5등	당첨금액	자동	수동	반자동
0001	2002-12-07	10-23-29-33-37-40	16	172	9	0	0	0	0	1	143,934,100	28	5,140,500	2,537	113,400	40,155	10,000	0	0	0
0002	2002-12-14	09-13-21-25-32-42	02	142	8	0	0	1	2,002,006,800	2	94,866,800	103	1,842,000	3,763	100,800	55,480	10,000	0	0	0
0003	2002-12-21	11-16-19-21-27-31	30	125	7	0	0	1	2,000,000,000	0	0	139	1,174,100	5,940	54,900	73,256	10,000	0	0	0
0004	2002-12-28	14-27-30-31-40-42	02	184	9	0	0	0	0	1	211,191,200	29	7,282,400	2,777	152,100	52,382	10,000	0	0	0
0005	2003-01-04	16-24-29-40-41-42	03	192	8	0	0	0	0	0	0	42	6,033,800	3,043	166,500	60,434	10,000	0	0	0
0006	2003-01-11	14-15-26-27-40-42	34	164	7	0	0	1	6,574,451,700	3	196,297,600	138	4,267,300	13,445	87,600	176,375	10,000	0	0	0
0007	2003-01-18	02-09-16-25-26-40	42	118	7	0	0	0	0	9	48,165,000	270	1,605,500	13,229	65,500	206,259	10,000	0	0	0
0008	2003-01-25	08-19-25-34-37-39	09	162	10	0	0	0	0	6	131,555,000	348	2,268,100	14,279	110,500	248,242	10,000	0	0	0
0009	2003-02-01	02-04-16-17-36-39	14	114	10	0	0	0	0	4	769,456,500	352	8,743,800	23,672	260,000	603,375	10,000	0	0	0
0010	2003-02-08	09-25-30-33-41-44	06	182	6	0	0	13	6,430,437,900	236	40,813,400	11,247	856,400	703,234	27,300	3,410,846	10,000	0	0	0
0011	2003-02-15	01-07-36-37-41-42	14	164	6	0	0	5	4,780,152,300	11	362,132,700	428	9,307,100	38,515	206,800	612,805	10,000	0	0	0
0012	2003-02-22	02-11-21-25-39-45	44	143	9	3	5	12	1,348,845,700	27	99,914,400	1,903	1,417,500	76,845	70,200	1,115,084	10,000	0	0	0
0013	2003-03-01	22-23-25-37-38-42	26	187	8	3	3	0	0	6	433,309,300	450	5,777,400	29,601	175,600	726,751	10,000	0	0	0
0014	2003-03-08	02-06-12-31-33-40	15	124	10	2	4	4	9,375,048,300	28	130,363,400	1,421	2,568,700	77,736	93,900	1,341,756	10,000	0	0	0
0015	2003-03-15	03-04-16-30-31-37	13	121	8	5	5	1	17,014,245,000	16	177,231,700	509	5,571,100	39,202	144,600	827,538	10,000	0	0	0
0016	2003-03-22	06-07-24-37-38-40	33	152	8	5	6	4	4,377,146,100	12	243,174,700	862	3,385,200	47,255	123,500	870,770	10,000	0	0	0
0017	2003-03-29	03-04-09-17-32-37	01	102	8	3	5	3	5,349,491,200	9	297,193,900	1,142	2,342,100	61,651	86,700	961,162	10,000	0	0	0
0018	2003-04-05	03-12-13-19-32-35	29	114	9	3	4	0	0	15	175,017,300	664	3,953,700	38,453	136,500	693,323	10,000	0	0	0
0019	2003-04-12	06-30-38-39-40-43	26	196	9	4	5	1	40,722,959,400	14	297,278,500	697	5,971,100	55,154	150,900	1,135,991	10,000	0	0	0
0020	2003-04-19	10-14-18-20-23-30	41	115	8	1	2	1	19,352,212,800	14	230,383,400	888	3,632,100	48,158	133,900	827,470	10,000	0	0	0
0021	2003-04-26	06-12-17-18-31-32	21	116	7	6	6	23	797,475,400	26	117,576,500	2,008	1,522,400	82,996	73,600	1,155,368	10,000	0	0	0
0022	2003-05-03	04-05-06-08-17-39	25	79	8	4	4	4	4,552,194,900	32	94,837,300	827	3,669,600	53,248	113,900	937,961	10,000	0	0	0
0023	2003-05-10	05-13-17-18-33-42	44	128	10	4	6	4	4,317,947,700	23	125,157,900	1,372	2,098,100	63,717	90,300	990,081	10,000	0	0	0
0024	2003-05-17	07-08-27-29-36-43	06	150	9	2	3	0	0	18	176,023,700	925	3,425,300	52,777	120,000	755,905	10,000	0	0	0
0025	2003-05-24	02-04-21-26-43-44	16	140	8	2	3	2	24,227,745,300	28	175,267,400	1,111	4,417,100	58,903	166,600	1,096,200	10,000	0	0	0
0026	2003-05-31	04-05-07-18-20-25	31	79	8	5	5	5	3,495,069,900	39	74,680,900	1,340	2,173,500	72,252	80,600	1,097,093	10,000	0	0	0
0027	2003-06-07	01-20-26-28-37-43	27	155	8	3	4	2	9,543,982,500	16	198,832,900	579	5,494,500	33,509	189,800	625,925	10,000	0	0	0
0028	2003-06-14	09-18-23-25-35-37	01	147	7	3	6	10	1,700,361,100	22	128,815,200	1,164	2,434,600	57,870	97,900	938,483	10,000	0	0	0
0029	2003-06-21	01-05-13-34-39-40	11	132	10	3	5	5	3,552,594,000	17	174,146,700	752	3,936,800	42,347	139,800	765,661	10,000	0	0	0
0030	2003-06-28	08-17-20-35-36-44	04	160	8	5	6	2	8,728,555,500	22	132,250,800	872	3,336,600	42,319	137,500	710,466	10,000	0	0	0
0031	2003-07-05	07-09-18-23-28-35	32	120	9	6	6	2	8,106,672,900	29	93,180,100	1,130	2,391,300	58,406	92,500	863,641	10,000	0	0	0
0032	2003-07-12	06-14-19-25-34-44	11	142	9	3	4	10	1,634,528,300	49	55,596,200	1,203	2,264,500	52,704	103,300	834,746	10,000	0	0	0
0033	2003-07-19	04-07-32-33-40-41	09	157	8	2	4	1	14,903,517,600	41	60,583,400	1,063	2,336,700	52,142	95,200	888,943	10,000	0	0	0
0034	2003-07-26	09-26-35-37-40-42	02	189	8	4	6	5	3,056,918,000	45	56,609,500	1,264	2,015,300	68,519	74,300	922,063	10,000	0	0	0
0035	2003-08-02	02-03-11-26-37-43	39	122	10	2	4	3	5,054,598,200	24	105,304,100	933	2,708,700	46,866	107,800	779,854	10,000	0	0	0
0036	2003-08-09	01-10-23-26-28-40	31	128	10	4	5	1	16,014,475,800	19	140,477,800	768	3,475,300	38,321	139,300	673,755	10,000	0	0	0
0037	2003-08-16	07-27-30-33-35-37	42	169	8	4	4	3	4,985,999,400	20	124,649,900	857	2,908,900	46,334	107,600	782,490	10,000	0	0	0
0038	2003-08-23	16-17-22-30-37-43	36	165	7	3	4	3	5,374,866,400	18	149,301,800	679	3,957,900	36,377	147,700	681,031	10,000	0	0	0
0039	2003-08-30	06-07-13-15-21-43	08	105	8	2	4	6	2,623,748,800	25	104,949,900	699	3,753,500	38,752	135,400	680,975	10,000	0	0	0
0040	2003-09-06	07-13-18-19-25-26	06	108	5	3	6	13	1,147,652,400	44	56,513,100	1,055	2,356,900	65,081	76,400	798,374	10,000	0	0	0
0041	2003-09-13	13-20-23-35-38-43	34	172	8	4	5	0	0	21	109,404,000	700	3,282,100	33,805	135,900	583,744	10,000	0	0	0
0042	2003-09-20	17-18-19-21-23-32	01	130	6	5	6	6	6,899,280,100	35	131,479,800	1,405	3,275,200	79,543	115,700	1,393,691	10,000	0	0	0
0043	2003-09-27	06-31-35-38-39-44	01	193	9	3	4	1	17,749,630,800	21	140,870,000	926	3,194,600	45,078	131,200	776,043	10,000	0	0	0
0044	2003-10-04	03-11-21-30-38-45	39	148	8	3	5	5	3,362,155,800	23	121,817,200	785	3,569,100	40,092	139,700	696,051	10,000	0	0	0
0045	2003-10-11	01-10-20-27-33-35	17	126	10	2	6	2	8,356,417,800	27	103,165,600	890	3,129,700	45,470	122,500	775,339	10,000	0	0	0
0046	2003-10-18	08-13-15-23-31-38	39	128	6	4	5	3	5,327,758,800	39	68,304,600	1,043	2,554,000	45,243	117,700	745,199	10,000	0	0	0
0047	2003-10-25	14-17-26-31-36-45	27	169	6	3	4	5	3,250,042,400	11	246,215,300	902	3,002,600	40,580	133,400	679,466	10,000	0	0	0
0048	2003-11-01	06-10-18-26-37-38	03	135	7	5	6	6	2,415,673,600	25	96,626,900	1,279	1,888,700	58,047	83,200	874,668	10,000	0	0	0
0049	2003-11-08	04-07-16-19-33-40	30	119	8	1	4	7	1,967,504,600	49	46,845,300	1,487	1,543,600	66,451	69,000	929,635	10,000	0	0	0
0050	2003-11-15	02-10-12-15-22-44	01	105	9	2	3	3	5,227,061,400	14	186,680,700	826	3,164,000	40,296	129,700	664,631	10,000	0	0	0
0051	2003-11-22	02-03-11-16-26-44	35	102	10	4	6	6	2,421,117,000	26	93,119,800	961	2,519,300	45,707	105,900	706,567	10,000	0	0	0
0052	2003-11-29	02-04-15-16-20-29	01	86	8	4	5	4	3,900,844,900	13	200,043,300	669	3,887,200	34,665	150,000	619,109	10,000	0	0	0
0053	2003-12-06	07-08-14-32-33-39	42	133	5	3	6	3	5,014,371,000	25	100,287,400	802	3,126,100	45,372	110,500	742,615	10,000	0	0	0
0054	2003-12-13	01-08-21-27-36-39	37	132	10	2	6	3	5,148,626,600	15	171,620,800	719	3,580,400	34,854	147,700	617,337	10,000	0	0	0
0055	2003-12-20	17-21-31-37-40-44	07	190	8	3	6	2	7,088,799,600	24	98,455,500	728	3,245,700	42,550	111,000	746,855	10,000	0	0	0
0056	2003-12-27	10-14-30-31-33-37	19	155	8	5	5	4	3,777,570,900	29	86,840,700	1,359	1,853,100	41,156	122,300	744,566	10,000	0	0	0
0057	2004-01-03	07-10-16-25-29-44	06	131	7	5	5	4	4,114,411,900	25	109,717,600	960	2,857,200	44,050	124,500	763,692	10,000	0	0	0
0058	2004-01-10	10-24-25-33-40-44	01	176	9	5	5	4	3,676,429,200	39	62,844,900	1,318	1,859,600	58,215	84,200	880,954	10,000	0	0	0
0059	2004-01-17	06-29-36-39-41-45	13	196	10	3	4	4	4,127,587,300	23	119,640,200	651	4,226,900	35,026	157,100	626,460	10,000	0	0	0
0060	2004-01-24	02-08-25-36-39-42	11	152	6	4	5	7	2,172,504,600	27	93,873,600	1,088	2,329,500	45,712	110,800	735,708	10,000	0	0	0
0061	2004-01-31	14-15-19-30-38-43	08	159	8	2	3	5	3,541,038,800	11	268,260,500	789	3,740,000	41,227	143,100	714,784	10,000	0	0	0
0062	2004-02-07	03-08-15-27-29-35	21	117	9	3	5	1	15,817,286,400	22	119,827,900	829	3,179,900	41,686	126,400	700,804	10,000	0	0	0
0063	2004-02-14	03-20-23-36-38-40	05	160	7	4	5	2	7,922,245,500	26	101,567,200	824	3,204,700	41,505	127,200	712,954	10,000	0	0	0
0064	2004-02-21	14-15-18-21-26-36	39	130	9	3	4	4	3,899,818,000	11	236,352,600	651	3,993,600	37,117	140,000	654,379	10,000	0	0	0
0065	2004-02-28	04-25-33-36-40-43	39	181	8	4	5	4	3,727,945,800	27	92,048,000	1,003	2,477,800	52,556	94,500	848,960	10,000	0	0	0
0066	2004-03-06	02-03-07-17-22-24	45	75	8	2	5	4	3,685,138,200	19	129,303,000	786	3,125,600	40,188	122,200	712,181	10,000	0	0	0
0067	2004-03-13	03-07-10-15-36-38	33	109	10	5	6	7	2,114,436,500	62	39,787,700	972	2,537,900	46,740	105,500	748,901	10,000	0	0	0
0068	2004-03-20	10-12-15-16-26-39	38	118	10	3	5	5	2,945,882,100	20	122,745,000	754	3,255,800	43,265	113,400	735,760	10,000	0	0	0
0069	2004-03-27	05-08-14-15-19-39	35	100	10	3	5	3	4,962,712,200	20	124,067,800	766	3,239,300	41,220	120,300	704,209	10,000	0	0	0
0070	2004-04-03	05-19-22-25-28-43	26	142	7	5	5	3	5,031,277,800	14	179,688,400	717	3,508,500	36,781	136,700	645,990	10,000	0	0	0
0071	2004-04-10	05-09-12-16-29-41	21	112	8	3	4	0	0	28	88,745,200	782	3,177,500	39,516	125,700	659,631	10,000	0	0	0
0072	2004-04-17	02-04-11-17-26-27	01	87	8	3	5	13	3,260,524,600	44	104,081,800	2,510	1,824,500	113,994	80,300	1,702,959	10,000	0	0	0
0073	2004-04-24	03-12-18-32-40-43	38	148	10	3	5	6	2,766,662,100	26	106,410,000	1,363	2,029,800	55,608	99,500	865,131	10,000	0	0	0
0074	2004-05-01	06-15-17-18-35-40	23	131	10	4	4	3	5,284,949,800	40	66,061,800	1,021	2,588,100	48,438	109,100	802,633	10,000	0	0	0
0075	2004-05-08	02-05-24-32-34-44	28	141	9	3	4	4	3,914,616,900	19	137,354,900	817	3,194,300	40,782	127,900	697,174	10,000	0	0	0
0076	2004-05-15	01-03-15-22-25-37	43	103	8	4	4	2	7,451,022,600	17	146,098,400	840	2,956,700	44,504	111,600	770,522	10,000	0	0	0
0077	2004-05-22	02-18-29-32-43-44	37	168	8	6	6	3	5,155,758,600	19	135,677,800	713	3,615,500	37,033	139,200	643,154	10,000	0	0	0
0078	2004-05-29	10-13-25-29-33-35	38	145	9	3	4	4	3,519,850,000	22	106,662,100	910	2,578,600	42,450	110,500	716,323	10,000	0	0	0
0079	2004-06-05	03-12-24-27-30-32	14	128	9	4	5	4	3,416,443,800	31	73,471,910	1,196	1,904,373	49,431	92,154	741,871	10,000	0	0	0
0080	2004-06-12	17-18-24-25-26-30	01	140	5	5	6	1	13,809,540,000	16	143,849,375	868	2,651,602	40,251	114,362	706,432	10,000	0	0	0
0081	2004-06-19	05-07-11-13-20-33	06	89	7	3	4	5	2,714,288,880	20	113,095,370	1,046	2,162,436	51,654	87,580	787,258	10,000	0	0	0
